Plot,Tree_no,RECRUIT,Species,InitialDbh,RefPoint,Critx,Crity,OffsetN,OffsetE,Dist,Azimuth,AzgridN,Treex,Treey,TrtgridN,X_Offset,Y_Offset,X_Corrected,Y_Corrected,Initial_MeasNum,Initial_TreeClass,Initial_LoggingStatus,Coords_Calculation_Date,MapInfoNeeded,Comments
805,10,0,PSME,42.8,H11,0,0,0,0,6.3,0,310,4.99,4.19,40,210,-270,205.81,-265.01,1,10,PRE,2003-04-04 00:00:00,No,
805,21,0,THPL,17.3,H11,0,0,0,0,9.4,333,310,3.71,8.73,40,210,-270,201.27,-266.29,1,10,PRE,2003-04-04 00:00:00,No,
805,22,0,TSHE,8,H11,0,0,0,0,10,332,310,3.76,9.31,40,210,-270,200.69,-266.24,1,10,PRE,2003-04-04 00:00:00,No,
805,24,0,THPL,14.5,H11,0,0,0,0,14.2,356,310,10.27,9.91,40,210,-270,200.09,-259.73,1,10,PRE,2003-04-04 00:00:00,No,
805,25,0,PSME,57.3,G11,0,20,0,0,10.2,95,310,6.01,11.41,40,210,-270,198.59,-263.99,1,10,PRE,2003-04-04 00:00:00,No,
805,26,0,TSHE,7.1,G11,0,20,0,0,10.6,103,310,4.83,10.52,40,210,-270,199.48,-265.17,1,10,PRE,2003-04-04 00:00:00,No,
805,27,0,PSME,36.5,H11,0,0,0,0,10.6,318,310,1.5,10.68,40,210,-270,199.32,-268.5,1,10,PRE,2003-04-04 00:00:00,No,
805,30,0,PSME,37.6,G11,0,20,0,0,1.1,67,310,1.15,19.42,40,210,-270,190.58,-268.85,1,10,PRE,2004-12-15 00:00:00,No,
805,32,0,PSME,51.3,G11,0,20,0,0,9.2,60,310,8.89,16.77,40,210,-270,193.23,-261.11,1,10,PRE,2003-04-04 00:00:00,No,
805,34,0,THPL,19.2,G11,0,20,0,0,5.6,346,310,3.35,24.61,40,210,-270,185.39,-266.65,1,10,PRE,2004-12-15 00:00:00,No,
805,35,0,THPL,7.8,G11,0,20,0,0,6.1,128,310,0.21,13.86,40,210,-270,196.14,-269.79,1,10,PRE,2003-04-04 00:00:00,No,
805,36,0,TSHE,5.7,G11,0,20,0,0,10,53,310,9.77,17.74,40,210,-270,192.26,-260.23,1,10,PRE,2003-04-04 00:00:00,No,
805,37,0,TSHE,10.8,G11,0,20,0,0,9.5,44,310,9.53,19.33,40,210,-270,190.67,-260.47,1,10,PRE,2003-04-04 00:00:00,No,
805,38,0,TSHE,5.3,G11,0,20,0,0,7.3,37,310,7.32,20.38,40,210,-270,189.62,-262.68,3,11,POST,2003-04-04 00:00:00,No,
805,39,0,PSME,52.9,G11,0,20,0,0,8.2,19,310,7.9,23.03,40,210,-270,186.97,-262.1,1,10,PRE,2003-04-04 00:00:00,No,
805,46,0,TSHE,6.6,G11,0,20,0,0,9.4,0,310,7.23,26.06,40,210,-270,183.94,-262.77,6,11,POST,2014-06-10 00:00:00,No,
805,53,0,TSHE,5.7,G11,0,20,0,0,9,340,310,4.51,27.82,40,210,-270,182.18,-265.49,6,11,POST,2014-06-10 00:00:00,No,
805,55,0,TSHE,5.3,G11,0,20,0,0,10.2,329,310,3.33,29.67,40,210,-270,180.33,-266.67,5,11,POST,2010-05-05 00:00:00,No,
805,57,0,TSHE,5.5,G11,0,20,0,0,11.8,318,310,1.65,31.71,40,210,-270,178.29,-268.35,6,11,POST,2014-06-10 00:00:00,No,
805,58,0,TSHE,6.2,G11,0,20,0,0,11.6,329,310,3.79,31,40,210,-270,179,-266.21,5,11,POST,2010-05-05 00:00:00,No,
805,64,0,PSME,50.8,G11,0,20,0,0,12.4,337,310,5.74,31.27,40,210,-270,178.73,-264.26,1,10,PRE,2003-04-04 00:00:00,No,
805,70,0,TSHE,5.8,G11,0,20,0,0,13.8,312,310,0.48,33.82,40,210,-270,176.18,-269.52,6,11,POST,2014-06-10 00:00:00,No,
805,72,0,PSME,21.8,F11,0,40,0,0,6.4,134,310,-0.45,33.51,40,210,-270,176.49,-270.45,1,21,PRE,2003-04-04 00:00:00,No,
805,73,0,TSHE,5.3,F11,0,40,0,0,8.2,112,310,2.54,32.18,40,210,-270,177.82,-267.46,5,11,POST,2010-05-05 00:00:00,No,
805,74,0,PSME,38.3,G11,0,20,0,0,16.1,349,310,10.25,32.66,40,210,-270,177.34,-259.75,1,10,PRE,2003-04-04 00:00:00,No,
805,75,0,PSME,35.3,G11,0,20,0,0,15.7,325,310,4.11,35.34,40,210,-270,174.66,-265.89,1,10,PRE,2003-04-04 00:00:00,No,
805,77,0,PSME,48.5,F11,0,40,0,0,3,113,310,0.95,36.9,40,210,-270,173.1,-269.05,1,10,PRE,2003-04-04 00:00:00,No,
805,78,0,TSHE,14.1,F11,0,40,0,0,0.13,101,310,0.1,39.82,40,210,-270,170.18,-269.9,1,10,PRE,2003-04-04 00:00:00,No,
805,79,0,TSHE,6.5,F11,0,40,0,0,6.3,72,310,5.37,36.64,40,210,-270,173.36,-264.63,6,11,POST,2014-06-10 00:00:00,No,
805,84,0,TSHE,6.7,F11,0,40,0,0,7.4,59,310,7.03,37.58,40,210,-270,172.42,-262.97,5,11,POST,2010-05-05 00:00:00,No,
805,85,0,PSME,50.2,F11,0,40,0,0,10.1,68,310,9.14,35.14,40,210,-270,174.86,-260.86,1,10,PRE,2003-04-04 00:00:00,No,
805,86,0,TSHE,6.9,F11,0,40,0,0,9.1,45,310,9.1,39.2,40,210,-270,170.8,-260.9,1,10,PRE,2003-04-04 00:00:00,No,
805,91,0,TSHE,5.4,F11,0,40,0,0,1.3,341,310,0.68,41.14,40,210,-270,168.86,-269.32,3,11,POST,2003-04-04 00:00:00,No,
805,92,0,PSME,47.55,F11,0,40,0,0,7.3,31,310,7.44,41.18,40,210,-270,168.82,-262.56,1,10,PRE,2004-09-16 00:00:00,No,
805,93,0,TSHE,5.5,F11,0,40,0,0,7.5,359,310,5.68,44.94,40,210,-270,165.06,-264.32,5,11,POST,2010-05-05 00:00:00,No,
805,98,0,TSHE,5.4,F11,0,40,0,0,9.4,339,310,4.57,48.25,40,210,-270,161.75,-265.43,5,11,POST,2010-05-05 00:00:00,No,
805,99,0,PSME,50.8,F11,0,40,0,0,8.3,334,310,3.48,47.81,40,210,-270,162.19,-266.52,1,10,PRE,2003-04-04 00:00:00,No,
805,100,0,TSHE,7.4,F11,0,40,0,0,9.1,338,310,4.29,48.07,40,210,-270,161.93,-265.71,6,11,POST,2014-06-10 00:00:00,No,
805,103,0,PSME,33.8,F11,0,40,0,0,11.6,324,310,2.85,51.42,40,210,-270,158.58,-267.15,1,10,PRE,2003-04-04 00:00:00,No,
805,104,0,PSME,23.7,F11,0,40,0,0,13.6,325,310,3.55,53.25,40,210,-270,156.75,-266.45,1,21,PRE,2003-04-04 00:00:00,No,
805,105,0,PSME,47.6,F11,0,40,0,0,14.4,342,310,7.76,52.41,40,210,-270,157.59,-262.24,1,21,PRE,2003-04-04 00:00:00,No,
